Statistical profiling result from isolate-0x1fa6030-v8.log, (847 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     27    3.2%          /usr/bin/nodejs
     25    3.0%          /lib/x86_64-linux-gnu/libc-2.19.so
      1    0.1%          /lib/x86_64-linux-gnu/libpthread-2.19.so

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.2%    0.3%  Stub: RecordWriteStub {1}
      2    0.2%    0.3%  LazyCompile: ~byteLength buffer.js:250:20
      2    0.2%    0.3%  LazyCompile: ~OutgoingMessage._storeHeader _http_outgoing.js:190:50
      2    0.2%    0.3%  LazyCompile: fs.readFileSync fs.js:417:27
      2    0.2%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot {2}
      1    0.1%    0.1%  Stub: ToBooleanStub(Null)
      1    0.1%    0.1%  Stub: ToBooleanStub {1}
      1    0.1%    0.1%  Stub: ToBooleanStub
      1    0.1%    0.1%  Stub: StoreTransitionStub {1}
      1    0.1%    0.1%  Stub: StoreTransitionStub
      1    0.1%    0.1%  Stub: StoreFieldStub {1}
      1    0.1%    0.1%  Stub: StoreFieldStub
      1    0.1%    0.1%  Stub: RecordWriteStub {2}
      1    0.1%    0.1%  Stub: RecordWriteStub
      1    0.1%    0.1%  Stub: LoadIndexedStringStub
      1    0.1%    0.1%  Stub: LoadFieldStub {1}
      1    0.1%    0.1%  Stub: LoadFieldStub
      1    0.1%    0.1%  Stub: InstanceofStub
      1    0.1%    0.1%  Stub: FastNewContextStub
      1    0.1%    0.1%  Stub: CallFunctionStub
      1    0.1%    0.1%  Stub: BinaryOpWithAllocationSiteStub
      1    0.1%    0.1%  Stub: BinaryOpICStub
      1    0.1%    0.1%  Stub: ArgumentsAccessStub
      1    0.1%    0.1%  StorePolymorphicIC: params
      1    0.1%    0.1%  StorePolymorphicIC: _idleNext
      1    0.1%    0.1%  RegExp: chunk
      1    0.1%    0.1%  RegExp: ^(\\/\\/?(?!\\/)[^\\?#\\s]*)(\\?[^#\\s]*)?$
      1    0.1%    0.1%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$ {1}
      1    0.1%    0.1%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$
      1    0.1%    0.1%  RegExp: .*[\\.\\/\\\\]
      1    0.1%    0.1%  LazyCompile: ~split native string.js:424:23
      1    0.1%    0.1%  LazyCompile: ~restore /home/ewnd9/test/node-profile/node_modules/express/lib/router/index.js:603:17
      1    0.1%    0.1%  LazyCompile: ~resOnFinish _http_server.js:490:25
      1    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1458:40
      1    0.1%    0.1%  LazyCompile: ~posix.dirname path.js:529:25
      1    0.1%    0.1%  LazyCompile: ~parserOnIncoming _http_server.js:454:28
      1    0.1%    0.1%  LazyCompile: ~nextTick node.js:511:22
      1    0.1%    0.1%  LazyCompile: ~makeRequireFunction internal/module.js:9:29
      1    0.1%    0.1%  LazyCompile: ~internals.parseValues /home/ewnd9/test/node-profile/node_modules/qs/lib/parse.js:19:34
      1    0.1%    0.1%  LazyCompile: ~internals.parseKeys /home/ewnd9/test/node-profile/node_modules/qs/lib/parse.js:89:32
      1    0.1%    0.1%  LazyCompile: ~header /home/ewnd9/test/node-profile/node_modules/express/lib/response.js:706:29
      1    0.1%    0.1%  LazyCompile: ~handle /home/ewnd9/test/node-profile/node_modules/express/lib/application.js:157:29
      1    0.1%    0.1%  LazyCompile: ~get /home/ewnd9/test/node-profile/node_modules/depd/lib/compat/index.js:59:15
      1    0.1%    0.1%  LazyCompile: ~fs.openSync fs.js:581:23
      1    0.1%    0.1%  LazyCompile: ~exports.compact /home/ewnd9/test/node-profile/node_modules/qs/lib/utils.js:135:28
      1    0.1%    0.1%  LazyCompile: ~afterWrite net.js:751:20
      1    0.1%    0.1%  LazyCompile: ~_tickCallback node.js:369:27
      1    0.1%    0.1%  LazyCompile: ~OutgoingMessage.end _http_outgoing.js:533:41
      1    0.1%    0.1%  LazyCompile: ~OutgoingMessage._writeRaw _http_outgoing.js:145:47
      1    0.1%    0.1%  LazyCompile: ~Mime.define /home/ewnd9/test/node-profile/node_modules/mime/mime.js:21:34
      1    0.1%    0.1%  LazyCompile: ~IncomingMessage._addHeaderLines _http_incoming.js:98:53
      1    0.1%    0.1%  LazyCompile: ~GetExistingHash native collection.js:72:25
      1    0.1%    0.1%  LazyCompile: require internal/module.js:13:19
      1    0.1%    0.1%  LazyCompile: nextTickCallbackWithManyArgs node.js:494:42
      1    0.1%    0.1%  LazyCompile: nextTickCallbackWith2Args node.js:472:39
      1    0.1%    0.1%  LazyCompile: *toString native v8natives.js:1029:26
      1    0.1%    0.1%  LazyCompile: *toBuf crypto.js:30:15
      1    0.1%    0.1%  LazyCompile: *test native regexp.js:135:20
      1    0.1%    0.1%  LazyCompile: *parseurl /home/ewnd9/test/node-profile/node_modules/parseurl/index.js:40:18
      1    0.1%    0.1%  LazyCompile: *hasOwnProperty native v8natives.js:111:30
      1    0.1%    0.1%  LazyCompile: *get native collection.js:245:16
      1    0.1%    0.1%  LazyCompile: *expressInit /home/ewnd9/test/node-profile/node_modules/express/lib/middleware/init.js:22:30
      1    0.1%    0.1%  LazyCompile: *etag /home/ewnd9/test/node-profile/node_modules/etag/index.js:71:14
      1    0.1%    0.1%  LazyCompile: *endReadable _stream_readable.js:887:21
      1    0.1%    0.1%  LazyCompile: *Readable.read _stream_readable.js:251:35
      1    0.1%    0.1%  LazyCompile: *NativeModule.require node.js:918:34
      1    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      1    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.1%    0.1%  Handler: handle_request
      1    0.1%    0.1%  Handler: domain
      1    0.1%    0.1%  Handler: apply
      1    0.1%    0.1%  Handler: _unrefTimer
      1    0.1%    0.1%  Handler: __proto__ {NaN}
      1    0.1%    0.1%  Handler: Object
      1    0.1%    0.1%  Handler: Array
      1    0.1%    0.1%  Handler: An IC handler from the snapshot {3}
      1    0.1%    0.1%  Handler: An IC handler from the snapshot {2}
      1    0.1%    0.1%  Handler: An IC handler from the snapshot {1}
      1    0.1%    0.1%  Handler: An IC handler from the snapshot
      1    0.1%    0.1%  Builtin: JSConstructStubGeneric
      1    0.1%    0.1%  Builtin: HandleApiCall
      1    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
    313   37.0%   39.4%  syscall
     59    7.0%    7.4%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     19    2.2%    2.4%  __lll_lock_wait
     15    1.8%    1.9%  write
     15    1.8%    1.9%  void node::StreamBase::JSMethod<node::StreamWrap, &node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.6%    0.6%  v8::internal::LookupIterator::Next()
      4    0.5%    0.5%  v8::internal::Runtime::KeyedGetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
      4    0.5%    0.5%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      4    0.5%    0.5%  node::crypto::PBKDF2(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.5%    0.5%  __libc_malloc
      4    0.5%    0.5%  _IO_vfprintf
      3    0.4%    0.4%  v8::internal::String::ToCString(v8::internal::AllowNullsFlag, v8::internal::RobustnessFlag, int, int, int*)
      3    0.4%    0.4%  v8::internal::String::SlowEquals(v8::internal::String*)
      3    0.4%    0.4%  v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.4%    0.4%  v8::internal::Heap::CopyFixedArrayAndGrow(v8::internal::FixedArray*, int, v8::internal::PretenureFlag)
      3    0.4%    0.4%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      3    0.4%    0.4%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, bool)
      3    0.4%    0.4%  http_parser_execute
      3    0.4%    0.4%  cfree
      3    0.4%    0.4%  __lll_unlock_wake
      2    0.2%    0.3%  v8::internal::Zone::New(unsigned long)
      2    0.2%    0.3%  v8::internal::UniqueSet<v8::internal::Map>::Add(v8::internal::Unique<v8::internal::Map>, v8::internal::Zone*)
      2    0.2%    0.3%  v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
      2    0.2%    0.3%  v8::internal::Scope::LookupLocal(v8::internal::AstRawString const*)
      2    0.2%    0.3%  v8::internal::Scope::CollectStackAndContextLocals(v8::internal::ZoneList<v8::internal::Variable*>*, v8::internal::ZoneList<v8::internal::Variable*>*, v8::internal::ZoneList<v8::internal::Variable*>*, v8::internal::ZoneList<v8::internal::Variable*>*)
      2    0.2%    0.3%  v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)
      2    0.2%    0.3%  v8::internal::Runtime_HasOwnProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.2%    0.3%  v8::internal::RelocIterator::next()
      2    0.2%    0.3%  v8::internal::RelocIterator::RelocIterator(v8::internal::Code*, int)
      2    0.2%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseMemberExpressionContinuation(v8::internal::Expression*, v8::internal::ExpressionClassifier*, bool*)
      2    0.2%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseAssignmentExpression(bool, v8::internal::ExpressionClassifier*, bool*)
      2    0.2%    0.3%  v8::internal::Map::FindInCodeCache(v8::internal::Name*, unsigned int)
      2    0.2%    0.3%  v8::internal::Map::CopyDropDescriptors(v8::internal::Handle<v8::internal::Map>)
      2    0.2%    0.3%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
      2    0.2%    0.3%  v8::internal::LParallelMove::IsRedundant() const
      2    0.2%    0.3%  v8::internal::LCodeGenBase::GenerateBody()
      2    0.2%    0.3%  v8::internal::LChunk::RegisterWeakObjectsInOptimizedCode(v8::internal::Handle<v8::internal::Code>) const
      2    0.2%    0.3%  v8::internal::JsonParser<true>::ParseJsonObject()
      2    0.2%    0.3%  v8::internal::JSArray::HasReadOnlyLength(v8::internal::Handle<v8::internal::JSArray>)
      2    0.2%    0.3%  v8::internal::InnerPointerToCodeCache::GcSafeFindCodeForInnerPointer(unsigned char*)
      2    0.2%    0.3%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
      2    0.2%    0.3%  v8::internal::Heap::IterateAndMarkPointersToFromSpace(v8::internal::HeapObject*, unsigned char*, unsigned char*, bool, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
      2    0.2%    0.3%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
      2    0.2%    0.3%  v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<true>()
      2    0.2%    0.3%  v8::internal::Context::builtins()
      2    0.2%    0.3%  v8::internal::Assembler::immediate_arithmetic_op(unsigned char, v8::internal::Register, v8::internal::Immediate, int)
      2    0.2%    0.3%  v8::internal::Accessors::FunctionLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      2    0.2%    0.3%  v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
      2    0.2%    0.3%  operator delete(void*)
      2    0.2%    0.3%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.3%  mmap
      2    0.2%    0.3%  _IO_default_xsputn
      1    0.1%    0.1%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      1    0.1%    0.1%  void v8::internal::Scanner::Advance<false, true>()
      1    0.1%    0.1%  void v8::internal::Code::CodeIterateBody<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*)
      1    0.1%    0.1%  v8::internal::VariableProxy::node_type() const
      1    0.1%    0.1%  v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>::BitsetType::Lub(v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>*)
      1    0.1%    0.1%  v8::internal::TranslationBuffer::Add(int, v8::internal::Zone*)
      1    0.1%    0.1%  v8::internal::Translation::StoreLiteral(int)
      1    0.1%    0.1%  v8::internal::TransitionArray::GetPrototypeTransition(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  v8::internal::ToBooleanStub::InitializeDescriptor(v8::internal::CodeStubDescriptor*)
      1    0.1%    0.1%  v8::internal::String::SlowAsArrayIndex(unsigned int*)
      1    0.1%    0.1%  v8::internal::String::GetFlatContent()
      1    0.1%    0.1%  v8::internal::StaticNewSpaceVisitor<v8::internal::NewSpaceScavenger>::VisitSeqOneByteString(v8::internal::Map*, v8::internal::HeapObject*)
      1    0.1%    0.1%  v8::internal::StaticMarkingVisitor<v8::internal::MarkCompactMarkingVisitor>::VisitJSFunctionStrongCode(v8::internal::Heap*, v8::internal::HeapObject*)
      1    0.1%    0.1%  v8::internal::StackFrame::GetCallerState(v8::internal::StackFrame::State*) const
      1    0.1%    0.1%  v8::internal::SeqOneByteSubStringKey::Hash()
      1    0.1%    0.1%  v8::internal::Script::GetLineNumberWithArray(int)
      1    0.1%    0.1%  v8::internal::ScopeInfo::ContextSlotIndex(v8::internal::Handle<v8::internal::ScopeInfo>, v8::internal::Handle<v8::internal::String>, v8::internal::VariableMode*, v8::internal::VariableLocation*, v8::internal::InitializationFlag*, v8::internal::MaybeAssignedFlag*)
      1    0.1%    0.1%  v8::internal::Scope::ResolveVariable(v8::internal::ParseInfo*, v8::internal::VariableProxy*, v8::internal::AstNodeFactory*)
      1    0.1%    0.1%  v8::internal::Scope::PropagateScopeInfo(bool)
      1    0.1%    0.1%  v8::internal::Scope::MustAllocate(v8::internal::Variable*)
      1    0.1%    0.1%  v8::internal::Scope::DeserializeScopeChain(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Context*, v8::internal::Scope*)
      1    0.1%    0.1%  v8::internal::Scanner::ScanIdentifierOrKeyword()
      1    0.1%    0.1%  v8::internal::Scanner::Scan()
      1    0.1%    0.1%  v8::internal::Scanner::Next()
      1    0.1%    0.1%  v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::Runtime_HasProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::Runtime_FunctionBindArguments(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::Runtime_ArrayConcat(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParsePostfixExpression(v8::internal::ExpressionClassifier*, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseMemberExpression(v8::internal::ExpressionClassifier*, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseLeftHandSideExpression(v8::internal::ExpressionClassifier*, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseExpression(bool, v8::internal::ExpressionClassifier*, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseBinaryExpression(int, bool, v8::internal::ExpressionClassifier*, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::BindingPatternUnexpectedToken(v8::internal::ExpressionClassifier*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::ParserTraits>::ArrowFormalParametersUnexpectedToken(v8::internal::ExpressionClassifier*)
      1    0.1%    0.1%  v8::internal::Parser::PatternRewriter::VisitVariableProxy(v8::internal::VariableProxy*)
      1    0.1%    0.1%  v8::internal::Parser::ParseStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.1%    0.1%  v8::internal::Parser::ParseFunctionLiteral(v8::internal::AstRawString const*, v8::internal::Scanner::Location, v8::internal::FunctionNameValidity, v8::internal::FunctionKind, int, v8::internal::FunctionLiteral::FunctionType, v8::internal::FunctionLiteral::ArityRestriction, v8::internal::LanguageMode, bool*)
      1    0.1%    0.1%  v8::internal::Parser::ParseExpressionOrLabelledStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.1%    0.1%  v8::internal::Parser::ParseCaseClause(bool*, bool*)
      1    0.1%    0.1%  v8::internal::Parser::ParseBlock(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.1%    0.1%  v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, v8::internal::JSMapIterator, 2>::Rehash(v8::internal::Handle<v8::internal::OrderedHashMap>, int)
      1    0.1%    0.1%  v8::internal::Operand::Operand(v8::internal::Register, int)
      1    0.1%    0.1%  v8::internal::Operand::Operand(v8::internal::Operand const&, int)
      1    0.1%    0.1%  v8::internal::Object::SetDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  v8::internal::Object::ReadAbsentProperty(v8::internal::LookupIterator*, v8::internal::LanguageMode)
      1    0.1%    0.1%  v8::internal::Object::GetRootMap(v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::Object** v8::internal::HandleScope::CreateHandle<v8::internal::Object>(v8::internal::Isolate*, v8::internal::Object*)
      1    0.1%    0.1%  v8::internal::NameDictionaryBase<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::FindEntry(v8::internal::Handle<v8::internal::Name>)
      1    0.1%    0.1%  v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned char*, unsigned long, unsigned char*, unsigned char*, v8::internal::Executability, v8::internal::Space*)
      1    0.1%    0.1%  v8::internal::Map::WeakCellForMap(v8::internal::Handle<v8::internal::Map>)
      1    0.1%    0.1%  v8::internal::Map::TryUpdate(v8::internal::Handle<v8::internal::Map>)
      1    0.1%    0.1%  v8::internal::Map::NumberOfFields()
      1    0.1%    0.1%  v8::internal::MacroAssembler::StoreToSafepointRegisterSlot(v8::internal::Register, v8::internal::Register)
      1    0.1%    0.1%  v8::internal::LookupIterator::PrepareTransitionToDataProperty(v8::internal::Handle<v8::internal::Object>, PropertyAttributes, v8::internal::Object::StoreFromKeyed)
      1    0.1%    0.1%  v8::internal::LookupIterator::GetRoot(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, unsigned int)
      1    0.1%    0.1%  v8::internal::LookupIterator::ApplyTransitionToDataProperty()
      1    0.1%    0.1%  v8::internal::Log::MessageBuilder::AppendDoubleQuotedString(char const*)
      1    0.1%    0.1%  v8::internal::Log::MessageBuilder::AppendDetailed(v8::internal::String*, bool)
      1    0.1%    0.1%  v8::internal::LiveRange::FirstIntersection(v8::internal::LiveRange*)
      1    0.1%    0.1%  v8::internal::Literal::IsPropertyName() const
      1    0.1%    0.1%  v8::internal::LTemplateResultInstruction<0>::HasResult() const
      1    0.1%    0.1%  v8::internal::LGapResolver::BuildInitialMoveList(v8::internal::LParallelMove*)
      1    0.1%    0.1%  v8::internal::LCodeGen::WriteTranslation(v8::internal::LEnvironment*, v8::internal::Translation*)
      1    0.1%    0.1%  v8::internal::LCodeGen::GeneratePrologue()
      1    0.1%    0.1%  v8::internal::LCodeGen::EmitTypeofIs(v8::internal::LTypeofIsAndBranch*, v8::internal::Register)
      1    0.1%    0.1%  v8::internal::LCodeGen::DoInstructionGap(v8::internal::LInstructionGap*)
      1    0.1%    0.1%  v8::internal::LCodeGen::DoCompareNumericAndBranch(v8::internal::LCompareNumericAndBranch*)
      1    0.1%    0.1%  v8::internal::LCodeGen::DoArgumentsLength(v8::internal::LArgumentsLength*)
      1    0.1%    0.1%  v8::internal::LChunkBuilder::TempRegister()
      1    0.1%    0.1%  v8::internal::LChunk::MarkEmptyBlocks()
      1    0.1%    0.1%  v8::internal::LChunk::LookupDestination(int) const
      1    0.1%    0.1%  v8::internal::LCheckNonSmi::Mnemonic() const
      1    0.1%    0.1%  v8::internal::LAllocator::LiveRangeFor(int)
      1    0.1%    0.1%  v8::internal::KeyedLoadICTrampolineStub::MajorKey() const
      1    0.1%    0.1%  v8::internal::JsonParser<true>::AdvanceSkipWhitespace()
      1    0.1%    0.1%  v8::internal::JSReceiver::GetKeys(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::JSReceiver::KeyCollectionType)
      1    0.1%    0.1%  v8::internal::JSObject::UpdateAllocationSite(v8::internal::Handle<v8::internal::JSObject>, v8::internal::ElementsKind)
      1    0.1%    0.1%  v8::internal::JSObject::SetOwnPropertyIgnoreAttributes(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, PropertyAttributes, v8::internal::JSObject::ExecutableAccessorInfoHandling)
      1    0.1%    0.1%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      1    0.1%    0.1%  v8::internal::JSObject::MigrateFastToFast(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>)
      1    0.1%    0.1%  v8::internal::JSObject::GetOwnElementKeys(v8::internal::FixedArray*, PropertyAttributes)
      1    0.1%    0.1%  v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, PropertyAttributes, v8::internal::JSObject::ExecutableAccessorInfoHandling)
      1    0.1%    0.1%  v8::internal::JSObject::AddSlowProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, PropertyAttributes)
      1    0.1%    0.1%  v8::internal::Isolate::UpdateArrayProtectorOnSetElement(v8::internal::Handle<v8::internal::JSObject>)
      1    0.1%    0.1%  v8::internal::Isolate::IsInternallyUsedPropertyName(v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  v8::internal::InternalizedStringKey::IsMatch(v8::internal::Object*)
      1    0.1%    0.1%  v8::internal::IncrementalMarkingMarkingVisitor::VisitFixedArrayIncremental(v8::internal::Map*, v8::internal::HeapObject*)
      1    0.1%    0.1%  v8::internal::IC::ComputeHandler(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
      1    0.1%    0.1%  v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
      1    0.1%    0.1%  v8::internal::Heap::AllocateStruct(v8::internal::InstanceType)
      1    0.1%    0.1%  v8::internal::Heap::AllocateJSObject(v8::internal::JSFunction*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
      1    0.1%    0.1%  v8::internal::Heap::AllocateFixedArray(int, v8::internal::PretenureFlag)
      1    0.1%    0.1%  v8::internal::HashTableBase::IsKey(v8::internal::Object*)
      1    0.1%    0.1%  v8::internal::HashTable<v8::internal::UnseededNumberDictionary, v8::internal::UnseededNumberDictionaryShape, unsigned int>::FindInsertionEntry(unsigned int)
      1    0.1%    0.1%  v8::internal::HashTable<v8::internal::UnseededNumberDictionary, v8::internal::UnseededNumberDictionaryShape, unsigned int>::FindEntry(v8::internal::Isolate*, unsigned int)
      1    0.1%    0.1%  v8::internal::HValue::CalculateInferredType()
      1    0.1%    0.1%  v8::internal::HUseIterator::Advance()
      1    0.1%    0.1%  v8::internal::HTemplateInstruction<3>::OperandAt(int) const
      1    0.1%    0.1%  v8::internal::HTemplateInstruction<2>::InternalSetOperandAt(int, v8::internal::HValue*)
      1    0.1%    0.1%  v8::internal::HStackCheckEliminationPhase::Run()
      1    0.1%    0.1%  v8::internal::HRepresentationChangesPhase::Run()
      1    0.1%    0.1%  v8::internal::HPhase::~HPhase()
