Statistical profiling result from isolate-0x2c2b020-v8.log, (63422 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   9236   14.6%          /usr/bin/nodejs
   5336    8.4%          /lib/x86_64-linux-gnu/libc-2.19.so
      1    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19
      1    0.0%          /lib/x86_64-linux-gnu/libpthread-2.19.so

 [JavaScript]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
      2    0.0%    0.0%  Stub: RegExpExecStub
      2    0.0%    0.0%  Stub: RecordWriteStub
      2    0.0%    0.0%  Stub: CEntryStub
      2    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:599:32
      2    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:251:35
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /home/ewnd9/test/node-profile/index.js:38:27
      2    0.0%    0.0%  Builtin: JSConstructStubGeneric
      1    0.0%    0.0%  Stub: StubFailureTrampolineStub
      1    0.0%    0.0%  Stub: StoreTransitionStub {1}
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFieldStub
      1    0.0%    0.0%  Stub: LoadFieldStub
      1    0.0%    0.0%  Stub: LoadFastElementStub
      1    0.0%    0.0%  Stub: JSEntryStub
      1    0.0%    0.0%  Stub: GrowArrayElementsStub
      1    0.0%    0.0%  Stub: FastNewContextStub
      1    0.0%    0.0%  Stub: CompareICStub
      1    0.0%    0.0%  StorePolymorphicIC: _idleStart
      1    0.0%    0.0%  RegExp: chunk
      1    0.0%    0.0%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$ {1}
      1    0.0%    0.0%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$
      1    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:255:23
      1    0.0%    0.0%  LazyCompile: ~unrefTimeout timers.js:531:22
      1    0.0%    0.0%  LazyCompile: ~substring native string.js:487:25
